,task,sequence
0,nav,"[15, 21, 19, 13, 4, 10, 8, 2]"
1,quiz,"[8, 19, 21, 15, 2, 4, 13, 10]"
2,nav,"[4, 19, 13, 2, 8, 10, 15, 21]"
3,quiz,"[15, 2, 19, 4, 13, 10, 8, 21]"
4,nav,"[8, 21, 13, 2, 19, 10, 15, 4]"
5,quiz,"[19, 13, 2, 4, 21, 15, 10, 8]"
6,nav,"[7, 11, 16, 20, 17, 23, 3, 1]"
7,quiz,"[17, 1, 11, 23, 7, 3, 16, 20]"
8,nav,"[11, 16, 3, 23, 7, 17, 20, 1]"
9,quiz,"[3, 20, 17, 1, 7, 23, 11, 16]"
10,nav,"[3, 23, 16, 11, 7, 1, 17, 20]"
11,quiz,"[16, 20, 17, 7, 23, 3, 11, 1]"
12,nav,"[18, 9, 6, 22, 14, 5, 12, 0]"
13,quiz,"[6, 9, 18, 14, 0, 12, 5, 22]"
14,nav,"[0, 5, 9, 22, 18, 12, 6, 14]"
15,quiz,"[5, 22, 9, 6, 14, 12, 0, 18]"
16,nav,"[9, 14, 12, 18, 5, 6, 22, 0]"
17,quiz,"[9, 18, 14, 6, 22, 0, 12, 5]"
